datetime,open,high,low,close,volume
2018-06-14 06:45:00,6488.1,6498.9,6470.9,6478.1,24.39887604
2015-08-13 00:00:00,267.53,267.68,266.47,266.74,204.43088525
2020-06-30 11:15:00,9136.1,9137.8,9132.1,9137.8,10.64543228
2018-06-16 01:00:00,6398.2,6411.3,6381.3,6411.3,14.22254918
2016-09-08 01:15:00,614.7,614.7,613.4,614.69,23.17297922
2014-03-20 07:15:00,600.01,602.5,599.0,602.21,78.16723429000001
2017-05-14 07:00:00,1793.99,1797.1,1786.94,1796.56,110.23882407
2012-03-02 19:45:00,4.79,4.79,4.79,4.79,77.91231735
2017-02-22 16:15:00,1130.01,1130.5,1126.0,1127.01,106.5565555
2016-07-13 02:15:00,665.02,665.67,662.28,662.94,19.79692636
2018-03-31 15:15:00,7030.31,7056.0,7025.84,7055.11,11.6192063
2019-04-15 07:30:00,5143.5,5151.6,5143.5,5150.7,23.04773019
2013-04-23 22:15:00,138.22,138.87,135.0,137.0,327.72914881
2015-06-05 07:00:00,222.62,222.8,221.38,222.76,246.39440618
2016-03-31 13:45:00,415.09,415.5,414.2,414.99,113.87730969
2016-07-19 13:45:00,671.98,672.0,671.34,671.34,6.19589852
2014-10-05 01:00:00,330.0,330.0,328.08,330.0,104.74079752
2020-08-10 00:00:00,11689.7,11725.9,11689.7,11720.4,36.37983733
2021-02-21 19:45:00,58031.1,58140.2,58031.1,58094.1,35.01925309
2016-12-13 00:30:00,778.0,778.0,777.02,777.02,17.14581065
2013-09-16 04:45:00,125.85,125.85,125.31,125.31,3.76736236
2017-12-18 13:30:00,18838.61,19019.65,18782.31,18919.65,148.95475347
2020-01-02 03:45:00,7120.0,7120.1,7095.0,7098.5,143.51926869
2020-11-06 07:30:00,15810.0,15810.0,15743.1,15761.2,44.73662409
2015-09-01 07:45:00,228.28,228.3,228.07,228.07,62.873891230000005
2013-06-21 04:15:00,101.81,103.4,96.0,100.91,901.72671731
2015-02-26 19:00:00,237.65,237.65,237.36,237.64,27.60318055
2013-02-26 01:00:00,30.49,30.49,30.4,30.4,90.59896553
2019-01-07 11:00:00,4011.0,4015.7,4005.7,4015.6,45.1725925
2015-05-22 01:30:00,235.56,235.57,235.56,235.56,9.87678025
2014-03-07 14:45:00,638.53,638.53,634.33,635.0,83.63894881
2013-09-23 08:15:00,123.2,123.59,123.12,123.59,414.59637391
2014-09-15 19:15:00,475.74,475.74,474.52,475.57,37.49917033
2013-01-25 14:30:00,17.2,17.28,17.14,17.28,440.5082963
2018-11-23 08:30:00,4236.1,4246.3,4233.8,4244.7,32.59681108
2016-01-31 13:30:00,377.28,377.5,375.7,376.39,52.71515782
2017-09-09 19:15:00,4208.97,4248.76,4208.97,4248.76,185.24712556
2014-03-27 18:30:00,521.5,525.9,510.0,510.0,1744.48480016
2014-07-21 08:45:00,620.82,621.99,618.02,619.0,57.15720652
2020-10-05 10:45:00,10683.6,10685.2,10677.1,10684.0,3.03203441
2016-01-14 07:45:00,429.81,429.92,429.59,429.62,53.91337161
2016-09-09 00:45:00,625.58,625.58,625.2,625.55,12.44193315
2018-08-04 05:45:00,7456.4,7461.2,7433.7,7433.7,20.10535879
2013-01-11 00:15:00,14.0,14.0,14.0,14.0,47.16428565
2015-04-27 15:00:00,223.09,224.55,223.09,223.51,845.1825003700001
2014-11-29 19:00:00,377.16,378.23,376.1,376.25,52.65642738
2020-03-01 13:15:00,8571.2,8587.4,8556.6,8568.9,2.06897469
2015-12-24 15:30:00,455.03,455.03,453.3,454.69,39.30665032
2019-11-20 21:00:00,8083.5,8085.5,8078.2,8079.4,18.3636596
2016-11-26 02:45:00,736.28,736.28,736.27,736.28,57.33213341
2015-01-03 06:30:00,310.73,311.45,305.7,306.97,1605.83563503
2012-10-20 19:15:00,11.63,11.63,11.63,11.63,239.85
2014-11-12 11:45:00,389.88,392.0,389.64,392.0,231.75635017
2015-08-18 02:00:00,256.02,256.71,255.83,256.18,223.60817976
2016-04-16 04:45:00,429.45,429.48,428.24,429.48,3.61715295
2013-04-06 07:30:00,142.04,142.99,142.04,142.99,35.5445512
2019-09-16 18:45:00,10127.0,10138.3,10125.1,10130.7,9.0321228
2013-07-10 02:15:00,75.35,75.35,74.84,75.01,230.35007468
2019-02-28 18:30:00,3809.5,3810.5,3804.8,3806.7,5.61658399
2018-02-01 09:30:00,9751.0,9811.8,9586.0,9586.0,141.9293527
2017-04-25 09:45:00,1259.0,1261.12,1257.37,1261.11,71.50245976
2017-12-12 22:45:00,17080.81,17100.0,17025.1,17046.96,117.58754305
2013-12-27 04:30:00,732.0,739.59,728.0,729.78,108.84830921
2013-04-17 17:15:00,89.99,91.0,84.02,88.0,456.07109177
2013-07-29 08:45:00,92.04,92.6,91.16,92.5,125.68250545
2012-03-30 23:15:00,4.88,4.88,4.88,4.88,438.13524585
2016-04-23 22:45:00,451.03,452.18,451.02,451.93,23.37283831
2014-01-10 20:30:00,829.52,829.87,825.54,827.76,59.071099
2014-01-04 17:15:00,820.0,825.0,817.41,824.99,150.07358964000002
2014-09-04 20:00:00,486.29,486.88,485.37,486.88,16.32718868
2020-04-21 12:30:00,6833.8,6841.2,6829.2,6831.1,20.917534810000003
2014-06-07 12:00:00,655.14,655.72,654.02,654.21,150.53252443000002
2012-01-30 08:15:00,5.5,5.5,5.5,5.5,75.0
2014-07-23 03:00:00,621.0,621.39,621.0,621.25,8.95401648
